 Šifra ravni ; Šifra kategorije ; Deskriptor ; Deskriptor (angleški) ; Šifra starša;
5; C24.440;Proizvodnja bakra;Copper production; C24.44;
4; C24.45;Proizvodnja drugih neželeznih kovin;Other non-ferrous metal production; C24.4;
5; C24.450;Proizvodnja drugih neželeznih kovin;Other non-ferrous metal production; C24.45;
4; C24.46;Proizvodnja jedrskega goriva;Processing of nuclear fuel; C24.4;
5; C24.460;Proizvodnja jedrskega goriva;Processing of nuclear fuel; C24.46;
3; C24.5;Livarstvo;Casting of metals; C24;
4; C24.51;Litje železa;Casting of iron; C24.5;
5; C24.510;Litje železa;Casting of iron; C24.51;
4; C24.52;Litje jekla;Casting of steel; C24.5;
5; C24.520;Litje jekla;Casting of steel; C24.52;
4; C24.53;Litje lahkih kovin;Casting of light metals; C24.5;
5; C24.530;Litje lahkih kovin;Casting of light metals; C24.53;
4; C24.54;Litje drugih neželeznih kovin;Casting of other non-ferrous metals; C24.5;
5; C24.540;Litje drugih neželeznih kovin;Casting of other non-ferrous metals; C24.54;
2; C25;Proizvodnja kovinskih izdelkov, razen strojev in naprav;Manufacture of fabricated metal products, except machinery and equipment; C;
3; C25.1;Proizvodnja gradbenih kovinskih izdelkov;Manufacture of structural metal products; C25;
4; C25.11;Proizvodnja kovinskih konstrukcij in njihovih delov;Manufacture of metal structures and parts of structures; C25.1;
5; C25.110;Proizvodnja kovinskih konstrukcij in njihovih delov;Manufacture of metal structures and parts of structures; C25.11;
4; C25.12;Proizvodnja kovinskega stavbnega pohištva;Manufacture of doors and windows of metal; C25.1;
5; C25.120;Proizvodnja kovinskega stavbnega pohištva;Manufacture of doors and windows of metal; C25.12;
3; C25.2;Proizvodnja kotlov za centralno ogrevanje, kovinskih rezervoarjev in cistern;Manufacture of tanks, reservoirs and containers of metal; C25;
4; C25.21;Proizvodnja radiatorjev in kotlov za centralno ogrevanje;Manufacture of central heating radiators and boilers; C25.2;
5; C25.210;Proizvodnja radiatorjev in kotlov za centralno ogrevanje;Manufacture of central heating radiators and boilers; C25.21;
4; C25.29;Proizvodnja drugih kovinskih rezervoarjev in cistern;Manufacture of other tanks, reservoirs and containers of metal; C25.2;
5; C25.290;Proizvodnja drugih kovinskih rezervoarjev in cistern;Manufacture of other tanks, reservoirs and containers of metal; C25.29;
3; C25.3;Proizvodnja parnih kotlov, razen kotlov za centralno ogrevanje;Manufacture of steam generators, except central heating hot water boilers; C25;
4; C25.30;Proizvodnja parnih kotlov, razen kotlov za centralno ogrevanje;Manufacture of steam generators, except central heating hot water boilers; C25.3;
5; C25.300;Proizvodnja parnih kotlov, razen kotlov za centralno ogrevanje;Manufacture of steam generators, except central heating hot water boilers; C25.30;
3; C25.4;Proizvodnja orožja in streliva;Manufacture of weapons and ammunition; C25;
4; C25.40;Proizvodnja orožja in streliva;Manufacture of weapons and ammunition; C25.4;
5; C25.400;Proizvodnja orožja in streliva;Manufacture of weapons and ammunition; C25.40;
3; C25.5;Kovanje, stiskanje, vtiskovanje in valjanje kovin, prašna metalurgija;Forging, pressing, stamping and roll-forming of metal, powder metallurgy; C25;
4; C25.50;Kovanje, stiskanje, vtiskovanje in valjanje kovin, prašna metalurgija;Forging, pressing, stamping and roll-forming of metal, powder metallurgy; C25.5;
5; C25.500;Kovanje, stiskanje, vtiskovanje in valjanje kovin, prašna metalurgija;Forging, pressing, stamping and roll-forming of metal, powder metallurgy; C25.50;
3; C25.6;Površinska obdelava in prekrivanje kovin, mehanska obdelava kovin;Treatment and coating of metals, machining; C25;
4; C25.61;Površinska obdelava in prekrivanje kovin;Treatment and coating of metals; C25.6;
5; C25.611;Prekrivanje kovin s kovino;Metallic coating of metals; C25.61;
5; C25.619;Druga površinska in toplotna obdelava kovin;Other coating and treatment of metals; C25.61;
4; C25.62;Mehanska obdelava kovin;Machining; C25.6;
5; C25.620;Mehanska obdelava kovin;Machining; C25.62;
3; C25.7;Proizvodnja jedilnega pribora, kljuèavnic, okovja, orodja;Manufacture of cutlery, tools and general hardware; C25;
4; C25.71;Proizvodnja rezil in jedilnega pribora;Manufacture of cutlery; C25.7;
5; C25.710;Proizvodnja rezil in jedilnega pribora;Manufacture of cutlery; C25.71;
4; C25.72;Proizvodnja kljuèavnic, okovja;Manufacture of locks and hinges; C25.7;
5; C25.720;Proizvodnja kljuèavnic, okovja;Manufacture of locks and hinges; C25.72;
4; C25.73;Proizvodnja orodja;Manufacture of tools; C25.7;
5; C25.731;Proizvodnja roènega orodja;Manufacture of hand tools; C25.73;
5; C25.732;Proizvodnja orodja za stroje;Manufacture of other tools; C25.73;
3; C25.9;Proizvodnja drugih kovinskih izdelkov;Manufacture of other fabricated metal products; C25;
4; C25.91;Proizvodnja jeklenih bobnov, sodov in podobnih posod;Manufacture of steel drums and similar containers; C25.9;
5; C25.910;Proizvodnja jeklenih bobnov, sodov in podobnih posod;Manufacture of steel drums and similar containers; C25.91;
4; C25.92;Proizvodnja lahke kovinske embalaže;Manufacture of light metal packaging; C25.9;
5; C25.920;Proizvodnja lahke kovinske embalaže;Manufacture of light metal packaging; C25.92;
4; C25.93;Proizvodnja izdelkov iz žice, verig in vzmeti;Manufacture of wire products, chain and springs; C25.9;
5; C25.930;Proizvodnja izdelkov iz žice, verig in vzmeti;Manufacture of wire products, chain and springs; C25.93;
4; C25.94;Proizvodnja vijaènega materiala, vezi;Manufacture of fasteners and screw machine products; C25.9;
5; C25.940;Proizvodnja vijaènega materiala, vezi;Manufacture of fasteners and screw machine products; C25.94;
4; C25.99;Proizvodnja drugje nerazvršèenih kovinskih izdelkov;Manufacture of other fabricated metal products n.e.c.; C25.9;
5; C25.990;Proizvodnja drugje nerazvršèenih kovinskih izdelkov;Manufacture of other fabricated metal products n.e.c.; C25.99;
2; C26;Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov;Manufacture of computer, electronic and optical products; C;
3; C26.1;Proizvodnja elektronskih komponent in plošè;Manufacture of electronic components and boards; C26;
4; C26.11;Proizvodnja elektronskih komponent;Manufacture of electronic components; C26.1;
5; C26.110;Proizvodnja elektronskih komponent;Manufacture of electronic components; C26.11;
